id,gid,x,y,v_x,v_y,radius,time
0,0,10.166655,0.359810,0.005552,0.047059,0.200000,0.100000
1,0,12.539203,0.595143,-0.091975,0.036163,0.200000,0.100000
2,0,7.330783,-0.090356,0.087429,0.316249,0.200000,0.100000
3,0,6.796052,-0.844279,-0.084880,-0.039011,0.200000,0.100000
4,0,8.840051,0.701426,0.050011,0.014138,0.200000,0.100000
5,0,5.231161,0.540365,0.075008,0.057621,0.200000,0.100000
6,0,13.667574,-1.050778,-0.279260,-0.009480,0.200000,0.100000
7,0,10.862117,-0.168128,0.021169,0.017165,0.200000,0.100000
8,0,13.299160,-0.542953,-0.137397,-0.055115,0.200000,0.100000
9,0,8.031213,-0.197808,0.016629,0.228163,0.200000,0.100000
10,0,6.820492,0.259288,-0.428078,0.397495,0.200000,0.100000
11,0,14.739628,-0.719481,-0.212723,-0.282330,0.200000,0.100000
12,0,13.405190,0.586291,-0.047102,-0.092126,0.200000,0.100000
13,0,8.522475,0.147247,-0.038254,0.154608,0.200000,0.100000
14,0,6.731948,-0.412694,-0.803923,0.022066,0.200000,0.100000
15,0,13.576092,1.041107,-0.360076,0.202673,0.200000,0.100000
16,0,6.431192,0.047196,-0.144680,-0.027906,0.200000,0.100000
17,0,6.770498,0.875148,-0.089221,-0.077492,0.200000,0.100000
18,0,9.426925,-0.468786,-0.715050,-0.311448,0.200000,0.100000
19,0,7.319336,-0.863683,-0.129542,-0.242934,0.200000,0.100000
20,1,7.304848,7.696070,0.047779,-0.172901,0.200000,0.100000
21,1,8.342323,-4.290821,-0.237767,-0.956709,0.200000,0.100000
22,1,7.081269,2.285702,-0.303208,-0.503482,0.200000,0.100000
23,1,9.065252,-3.178728,-0.230776,-1.020384,0.200000,0.100000
24,1,5.319713,5.462650,0.095726,-0.273202,0.200000,0.100000
25,1,8.391527,-2.130347,-0.213428,-1.011670,0.200000,0.100000
26,1,6.792024,6.526797,-0.299459,-0.415127,0.200000,0.100000
27,1,5.153698,1.227974,-0.133223,0.047445,0.200000,0.100000
28,1,4.801130,2.996389,-0.084201,-0.263810,0.200000,0.100000
29,1,4.812650,0.642616,0.001797,-0.664379,0.200000,0.100000
30,1,7.600571,3.399964,-0.025591,-0.469261,0.200000,0.100000
31,1,7.275465,-4.373924,-0.003454,-0.289743,0.200000,0.100000
32,1,5.656429,2.159863,0.116994,-0.797973,0.200000,0.100000
33,1,7.979486,5.318636,0.021660,-0.454742,0.200000,0.100000
34,1,4.911368,6.552985,-0.157524,-0.833150,0.200000,0.100000
35,1,9.180922,3.781633,-0.034082,-0.030470,0.200000,0.100000
36,1,6.192014,4.097616,-0.044764,-1.107041,0.200000,0.100000
