id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993383,-1.007428,0.132345,-0.148569,0.750000,0.050000
1,0,-8.993394,1.009485,0.132110,0.189699,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.980927,-1.014111,0.249110,-0.133658,0.750000,0.100000
1,0,-8.980950,1.018018,0.248899,0.170660,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963276,-1.021303,0.353021,-0.143832,0.750000,0.150000
1,0,-8.963249,1.025691,0.354009,0.153464,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.940890,-1.027768,0.447719,-0.129295,0.750000,0.200000
1,0,-8.940876,1.033912,0.447466,0.164413,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914243,-1.033576,0.532947,-0.116164,0.750000,0.250000
1,0,-8.914209,1.042684,0.533343,0.175438,0.750000,0.250000
2,1,-0.085437,0.000000,-0.532363,0.000000,0.750000,0.250000
0,0,-8.883760,-1.038791,0.609652,-0.104304,0.750000,0.300000
1,0,-8.883812,1.052184,0.607936,0.190004,0.750000,0.300000
2,1,-0.115893,0.000000,-0.609127,0.000000,0.750000,0.300000
0,0,-8.849922,-1.043539,0.676769,-0.094957,0.750000,0.350000
1,0,-8.849955,1.060715,0.677141,0.170624,0.750000,0.350000
2,1,-0.149804,0.000000,-0.678214,0.000000,0.750000,0.350000
0,0,-8.813067,-1.048459,0.737097,-0.098409,0.750000,0.400000
1,0,-8.813169,1.068561,0.735721,0.156926,0.750000,0.400000
2,1,-0.186447,0.000031,-0.732863,0.000626,0.750000,0.400000
0,0,-8.773424,-1.055007,0.792868,-0.130954,0.750000,0.450000
1,0,-8.773922,1.075945,0.784933,0.147671,0.750000,0.450000
2,1,-0.225062,0.000386,-0.772310,0.007095,0.750000,0.450000
0,0,-8.731792,-1.061357,0.832639,-0.126999,0.750000,0.500000
1,0,-8.732177,1.082998,0.834912,0.141069,0.750000,0.500000
2,1,-0.265233,0.001048,-0.803404,0.013242,0.750000,0.500000
0,0,-8.687720,-1.068493,0.881427,-0.142725,0.750000,0.550000
1,0,-8.688200,1.089910,0.879535,0.138231,0.750000,0.550000
2,1,-0.306676,0.001930,-0.828876,0.017629,0.750000,0.550000
0,0,-8.642274,-1.075597,0.908926,-0.142070,0.750000,0.600000
1,0,-8.642059,1.096775,0.922806,0.137306,0.750000,0.600000
2,1,-0.348969,0.003374,-0.845859,0.028898,0.750000,0.600000
0,0,-8.595637,-1.082758,0.932740,-0.143234,0.750000,0.650000
1,0,-8.594981,1.103688,0.941573,0.138263,0.750000,0.650000
2,1,-0.391877,0.005502,-0.858146,0.042541,0.750000,0.650000
0,0,-8.547947,-1.090056,0.953802,-0.145946,0.750000,0.700000
1,0,-8.547165,1.110695,0.956316,0.140134,0.750000,0.700000
2,1,-0.435159,0.008334,-0.865652,0.056640,0.750000,0.700000
