id,gid,x,y,v_x,v_y,radius,time
0,0,10.160710,0.363645,-0.107799,0.170811,0.200000,0.050000
1,0,12.535426,0.599020,-0.259479,0.149869,0.200000,0.050000
2,0,7.347040,-0.146981,0.500000,-0.500000,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.838553,0.723239,0.070052,0.464547,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.696207,-1.066595,0.014136,-0.335302,0.200000,0.050000
7,0,10.861576,-0.173152,0.031520,-0.066132,0.200000,0.050000
8,0,13.294370,-0.526197,-0.370605,0.224877,0.200000,0.050000
9,0,8.018777,-0.237811,-0.215450,-0.343742,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.761744,-0.690903,0.016876,0.006907,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.528480,0.131849,0.043596,0.001261,0.200000,0.050000
14,0,6.787340,-0.389901,-0.500000,0.500000,0.200000,0.050000
15,0,13.625926,1.045840,0.276519,0.500000,0.200000,0.050000
16,0,6.420660,0.054459,-0.500000,0.089442,0.200000,0.050000
17,0,6.776884,0.893652,-0.050720,0.215103,0.200000,0.050000
18,0,9.495600,-0.445753,-0.056602,-0.162247,0.200000,0.050000
19,0,7.320111,-0.859420,-0.243575,-0.400605,0.200000,0.050000
20,1,7.301529,7.707105,0.029172,-0.125102,0.200000,0.050000
21,1,8.367649,-4.203256,0.030985,-0.162112,0.200000,0.050000
22,1,7.113095,2.328407,0.030105,-0.152859,0.200000,0.050000
23,1,9.090068,-3.083218,0.034755,-0.130569,0.200000,0.050000
24,1,5.310220,5.480968,0.001606,-0.180039,0.200000,0.050000
25,1,8.409729,-2.034601,-0.062826,-0.108417,0.200000,0.050000
26,1,6.820474,6.560080,-0.029912,-0.164608,0.200000,0.050000
27,1,5.142077,1.216783,-0.498866,-0.128948,0.200000,0.050000
28,1,4.806596,3.019551,-0.059083,-0.064373,0.200000,0.050000
29,1,4.787470,0.726814,-0.500000,0.355209,0.200000,0.050000
30,1,7.597876,3.440325,-0.105084,-0.131300,0.200000,0.050000
31,1,7.270687,-4.352222,-0.102464,-0.145441,0.200000,0.050000
32,1,5.643068,2.240032,-0.033235,0.007448,0.200000,0.050000
33,1,7.977062,5.359335,-0.005163,-0.095495,0.200000,0.050000
34,1,4.925915,6.633374,-0.024103,-0.058529,0.200000,0.050000
35,1,9.203790,3.775796,0.389202,-0.177676,0.200000,0.050000
