id,gid,x,y,v_x,v_y,radius,time
0,0,10.159711,0.354931,-0.127772,-0.003465,0.200000,0.050000
1,0,12.541643,0.591806,-0.135143,0.005582,0.200000,0.050000
2,0,7.347040,-0.108521,0.500000,0.269202,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.833278,0.712565,-0.035447,0.251060,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.700361,-1.073472,0.097211,-0.472841,0.200000,0.050000
7,0,10.853478,-0.169782,-0.130438,0.001261,0.200000,0.050000
8,0,13.306403,-0.537250,-0.129944,0.003814,0.200000,0.050000
9,0,8.004550,-0.245624,-0.500000,-0.500000,0.200000,0.050000
10,0,6.838300,0.244538,-0.500000,0.500000,0.200000,0.050000
11,0,14.757017,-0.689870,-0.077661,0.027568,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.519800,0.131723,-0.129994,-0.001267,0.200000,0.050000
14,0,6.837340,-0.389901,0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.427242,0.060450,-0.368361,0.209262,0.200000,0.050000
17,0,6.777402,0.898261,-0.040365,0.307273,0.200000,0.050000
18,0,9.494406,-0.438513,-0.080478,-0.017432,0.200000,0.050000
19,0,7.325925,-0.842396,-0.127304,-0.060126,0.200000,0.050000
20,1,7.298880,7.706970,-0.023810,-0.127801,0.200000,0.050000
21,1,8.364611,-4.201477,-0.029780,-0.126543,0.200000,0.050000
22,1,7.111531,2.329550,-0.001176,-0.129995,0.200000,0.050000
23,1,9.086453,-3.082913,-0.037543,-0.124464,0.200000,0.050000
24,1,5.311038,5.483103,0.017951,-0.137334,0.200000,0.050000
25,1,8.411736,-2.035580,-0.022689,-0.128005,0.200000,0.050000
26,1,6.822040,6.561810,0.001397,-0.129992,0.200000,0.050000
27,1,5.192020,1.248230,0.500000,0.500000,0.200000,0.050000
28,1,4.810628,3.016360,0.021562,-0.128199,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.602839,3.440396,-0.005813,-0.129871,0.200000,0.050000
31,1,7.275492,-4.351443,-0.006354,-0.129853,0.200000,0.050000
32,1,5.645445,2.233200,0.014306,-0.129209,0.200000,0.050000
33,1,7.976907,5.357623,-0.008253,-0.129738,0.200000,0.050000
34,1,4.927924,6.629850,0.016074,-0.129002,0.200000,0.050000
35,1,9.183313,3.778260,-0.020346,-0.128398,0.200000,0.050000
36,1,6.196857,4.201830,0.007340,-0.129793,0.200000,0.050000
37,1,8.527720,3.873908,-0.500000,0.225551,0.200000,0.050000
38,1,9.140388,4.625415,-0.018436,-0.128898,0.200000,0.050000
39,1,6.798979,8.862000,0.001385,-0.129993,0.200000,0.050000
0,0,10.129501,0.370853,-0.604216,0.318441,0.200000,0.100000
1,0,12.528471,0.592535,-0.263441,0.014580,0.200000,0.100000
2,0,7.347040,-0.070061,0.000000,0.769202,0.200000,0.100000
3,0,6.750557,-0.887402,-0.579651,-0.440475,0.200000,0.100000
4,0,8.825738,0.729143,-0.150796,0.331562,0.200000,0.100000
5,0,5.248660,0.459801,0.000000,-0.996036,0.200000,0.100000
6,0,13.698246,-1.094377,-0.042296,-0.418107,0.200000,0.100000
7,0,10.841109,-0.169656,-0.247387,0.002526,0.200000,0.100000
8,0,13.294058,-0.536888,-0.246894,0.007246,0.200000,0.100000
9,0,8.004550,-0.245624,0.000000,0.000000,0.200000,0.100000
