id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000042,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093563,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083796,0.500000,0.050000
0,0,7.980966,0.000006,-0.249411,0.000081,0.500000,0.100000
1,1,5.644955,5.644955,-0.155867,-0.155869,0.500000,0.100000
2,2,0.000005,7.980216,0.000072,-0.259242,0.500000,0.100000
3,3,-5.643283,5.643287,0.177769,-0.177727,0.500000,0.100000
4,4,-7.982872,0.000003,0.224434,0.000053,0.500000,0.100000
5,5,-5.643018,-5.643037,0.181253,0.181133,0.500000,0.100000
6,6,0.000000,-7.979943,0.000000,0.262819,0.500000,0.100000
7,7,5.644720,-5.644700,-0.159070,0.159211,0.500000,0.100000
0,0,7.963179,0.000012,-0.355739,0.000115,0.500000,0.150000
1,1,5.633839,5.633839,-0.222315,-0.222318,0.500000,0.150000
2,2,0.000010,7.961728,0.000102,-0.369760,0.500000,0.150000
3,3,-5.630606,5.630612,0.253555,-0.253495,0.500000,0.150000
4,4,-7.966867,0.000007,0.320113,0.000076,0.500000,0.150000
5,5,-5.630091,-5.630119,0.258524,0.258352,0.500000,0.150000
6,6,0.000000,-7.961200,0.000001,0.374863,0.500000,0.150000
7,7,5.633376,-5.633345,-0.226884,0.227086,0.500000,0.150000
0,0,7.940607,0.000019,-0.451434,0.000146,0.500000,0.200000
1,1,5.619733,5.619733,-0.282118,-0.282119,0.500000,0.200000
2,2,0.000017,7.938266,0.000132,-0.469227,0.500000,0.200000
3,3,-5.614518,5.614528,0.321761,-0.321686,0.500000,0.200000
4,4,-7.946555,0.000012,0.406221,0.000096,0.500000,0.200000
5,5,-5.613688,-5.613727,0.328067,0.327850,0.500000,0.200000
6,6,0.000000,-7.937414,0.000006,0.475701,0.500000,0.200000
7,7,5.618980,-5.618937,-0.287916,0.288169,0.500000,0.200000
0,0,7.913729,0.000028,-0.537562,0.000173,0.500000,0.250000
1,1,5.602936,5.602936,-0.335938,-0.335929,0.500000,0.250000
2,2,0.000025,7.910329,0.000166,-0.558745,0.500000,0.250000
3,3,-5.595360,5.595375,0.383144,-0.383056,0.500000,0.250000
4,4,-7.922370,0.000018,0.483706,0.000115,0.500000,0.250000
5,5,-5.594155,-5.594207,0.390657,0.390396,0.500000,0.250000
6,6,0.000002,-7.909092,0.000025,0.566451,0.500000,0.250000
7,7,5.601838,-5.601780,-0.342844,0.343134,0.500000,0.250000
0,0,7.882975,0.000038,-0.615082,0.000197,0.500000,0.300000
1,1,5.583718,5.583720,-0.384369,-0.384336,0.500000,0.300000
2,2,0.000036,7.878364,0.000209,-0.639307,0.500000,0.300000
3,3,-5.573441,5.573460,0.438386,-0.438286,0.500000,0.300000
4,4,-7.894699,0.000024,0.553416,0.000132,0.500000,0.300000
5,5,-5.571806,-5.571873,0.446992,0.446685,0.500000,0.300000
6,6,0.000005,-7.876686,0.000069,0.648119,0.500000,0.300000
7,7,5.582224,-5.582151,-0.392277,0.392582,0.500000,0.300000
0,0,7.848732,0.000049,-0.684859,0.000217,0.500000,0.350000
1,1,5.562321,5.562326,-0.427944,-0.427867,0.500000,0.350000
2,2,0.000049,7.842773,0.000265,-0.711810,0.500000,0.350000
3,3,-5.549036,5.549061,0.488100,-0.487989,0.500000,0.350000
4,4,-7.863894,0.000032,0.616112,0.000147,0.500000,0.350000
5,5,-5.546920,-5.547005,0.497702,0.497342,0.500000,0.350000
6,6,0.000012,-7.840606,0.000147,0.721609,0.500000,0.350000
7,7,5.560386,-5.560298,-0.436761,0.437055,0.500000,0.350000
0,0,7.811349,0.000060,-0.747670,0.000231,0.500000,0.400000
1,1,5.538963,5.538976,-0.467144,-0.466998,0.500000,0.400000
2,2,0.000066,7.803921,0.000340,-0.777056,0.500000,0.400000
3,3,-5.522394,5.522425,0.532839,-0.532717,0.500000,0.400000
4,4,-7.830270,0.000040,0.672481,0.000160,0.500000,0.400000
