id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.005000,0.130000,-0.100000,0.750000,0.050000
1,0,-8.993500,1.005000,0.130000,0.100000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.009498,0.247000,-0.089964,0.750000,0.100000
1,0,-8.981150,1.009498,0.247000,0.089964,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.013543,0.352300,-0.080899,0.750000,0.150000
1,0,-8.963535,1.013543,0.352300,0.080899,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941182,-1.017179,0.447070,-0.072711,0.750000,0.200000
1,0,-8.941182,1.017179,0.447070,0.072711,0.750000,0.200000
2,1,-0.058818,0.000000,-0.447070,0.000000,0.750000,0.200000
0,0,-8.914563,-1.020444,0.532363,-0.065315,0.750000,0.250000
1,0,-8.914563,1.020444,0.532363,0.065315,0.750000,0.250000
2,1,-0.085437,0.000000,-0.532363,0.000000,0.750000,0.250000
0,0,-8.884107,-1.023376,0.609127,-0.058635,0.750000,0.300000
1,0,-8.884107,1.023376,0.609127,0.058635,0.750000,0.300000
2,1,-0.115893,0.000000,-0.609127,0.000000,0.750000,0.300000
0,0,-8.850196,-1.026006,0.678214,-0.052602,0.750000,0.350000
1,0,-8.850196,1.026006,0.678214,0.052602,0.750000,0.350000
2,1,-0.149804,0.000000,-0.678214,0.000000,0.750000,0.350000
0,0,-8.813240,-1.028402,0.739128,-0.047919,0.750000,0.400000
1,0,-8.813240,1.028402,0.739128,0.047919,0.750000,0.400000
2,1,-0.186697,0.000000,-0.737864,0.000000,0.750000,0.400000
0,0,-8.773739,-1.030706,0.790009,-0.046084,0.750000,0.450000
1,0,-8.773739,1.030706,0.790009,0.046084,0.750000,0.450000
2,1,-0.225880,0.000000,-0.783666,0.000000,0.750000,0.450000
0,0,-8.732114,-1.033030,0.832515,-0.046475,0.750000,0.500000
